category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54,cluster 55,cluster 56,cluster 57,cluster 58,cluster 59,cluster 60,cluster 61,cluster 62,cluster 63,cluster 64
art,0,0,0,1,0,2,1,0,2,2,1,2,3,0,4,2,2,5,5,0,11,2,0,0,1,2,2,0,0,0,0,11,0,2,0,0,0,6,0,24,1,2,1,0,0,1,4,0,0,1,1,0,0,6,0,0,1,0,0,3,0,1,1,0,18
autos_and_vehicles,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
business,0,1,0,0,0,0,1,0,0,14,1,0,0,0,0,0,1,2,8,1,2,4,0,0,1,1,8,0,0,0,0,5,0,1,0,0,0,18,0,4,0,0,0,2,0,0,3,0,1,1,0,0,1,2,0,0,0,0,0,1,1,1,0,0,0
citizen_journalism,1,2,0,0,0,0,2,0,0,4,2,1,8,0,6,1,1,3,2,0,10,1,0,0,0,0,2,0,0,0,0,8,1,0,0,0,0,28,0,30,0,2,3,0,1,3,2,0,0,0,0,0,0,2,1,0,0,0,0,3,1,0,0,0,0
comedy,0,1,1,0,0,1,0,0,0,5,4,3,2,0,0,6,5,6,6,1,7,1,0,0,1,2,9,1,1,0,0,32,1,2,0,0,0,4,1,18,0,2,0,0,0,6,0,0,3,1,2,0,1,0,0,0,0,0,0,5,3,0,1,0,1
conferences_and_other_events,0,1,0,0,0,0,1,0,0,3,5,0,1,0,0,2,1,1,0,0,7,0,0,0,0,1,4,1,0,0,0,8,0,3,0,0,0,10,0,4,1,0,0,0,1,0,4,0,1,0,0,0,1,9,0,0,0,0,0,3,0,1,0,0,0
default_category,3,8,4,0,1,2,9,2,4,53,10,5,2,0,0,4,15,14,13,0,31,27,0,1,1,8,14,2,0,1,0,44,3,20,0,0,0,102,1,102,0,5,0,6,0,12,27,2,3,3,10,1,0,34,3,1,0,0,0,24,6,8,1,0,12
documentary,1,2,2,0,0,0,0,0,2,7,4,2,0,0,2,3,2,2,6,0,1,3,0,0,0,3,2,1,1,0,0,7,1,1,0,0,0,8,1,15,0,2,2,0,0,1,1,0,1,3,2,0,0,9,1,0,0,0,0,3,1,2,1,0,1
educational,0,4,0,0,0,0,2,0,2,39,21,0,3,0,0,4,5,10,10,0,39,16,1,0,0,4,13,0,0,0,0,14,0,5,1,0,0,22,1,27,0,5,0,0,0,1,2,0,12,0,5,0,1,21,0,0,0,0,1,1,2,1,0,0,1
food_and_drink,1,1,0,3,0,0,0,1,0,3,3,0,0,0,0,3,6,0,2,0,7,5,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,3,0,16,0,4,0,0,0,0,2,0,0,1,1,0,0,3,0,0,0,0,0,5,1,0,0,0,0
gaming,0,0,4,0,0,0,0,0,4,4,3,0,4,0,0,1,4,1,2,0,3,2,0,0,0,1,2,0,0,0,0,8,1,0,1,0,1,3,0,23,0,1,0,1,0,14,2,0,0,1,2,0,1,4,0,0,2,0,1,7,0,1,0,0,1
health,0,0,0,0,0,0,1,0,0,4,1,0,1,0,1,1,3,0,4,0,15,3,0,0,2,1,6,0,0,0,0,6,0,21,0,0,0,3,0,3,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,6,0,0,0,0
literature,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
movies_and_television,0,3,23,1,0,0,0,0,1,12,6,5,4,1,8,7,7,24,7,0,5,5,0,0,1,2,3,1,1,1,0,50,2,3,0,0,0,9,0,33,0,3,0,2,0,3,2,0,0,3,0,0,1,18,0,0,1,0,1,8,0,0,2,0,3
music_and_entertainment,1,0,4,0,1,4,0,0,2,14,1,6,2,0,2,5,1,9,5,0,1,7,0,0,0,12,1,0,2,0,0,34,3,0,0,0,0,24,0,80,0,1,0,0,0,6,21,0,0,4,1,1,0,25,0,0,1,0,0,20,7,5,0,0,9
personal_or_auto-biographical,0,1,0,0,0,0,0,0,0,6,1,0,0,0,0,0,1,0,2,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,0,8,0,1,0,0,0,2,3,0,0,1,1,0,0,5,0,0,0,0,0,1,1,2,0,0,0
politics,0,6,1,1,0,0,26,11,5,22,5,0,16,0,2,0,6,11,4,0,21,3,0,1,25,0,44,1,0,0,0,15,0,135,0,3,0,115,0,57,0,9,1,12,0,1,3,0,3,0,2,0,0,2,21,0,0,0,1,0,1,2,0,0,1
religion,0,0,0,1,0,0,2,0,0,25,19,1,4,0,0,1,3,4,13,0,1,15,0,9,0,4,0,0,0,0,0,69,1,1,0,0,0,14,0,28,0,1,0,0,0,0,16,0,1,0,0,1,0,25,0,0,0,0,1,0,2,0,0,0,1
