category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54,cluster 55,cluster 56,cluster 57,cluster 58,cluster 59,cluster 60,cluster 61,cluster 62,cluster 63,cluster 64,cluster 65,cluster 66,cluster 67,cluster 68,cluster 69
art,2,4,2,0,0,0,2,1,0,0,0,1,0,2,3,0,0,0,22,2,1,4,4,2,2,0,2,0,0,0,1,8,7,0,0,0,6,1,0,0,2,0,0,16,1,1,2,8,1,0,0,1,3,0,1,0,2,0,0,0,0,0,7,1,6,0,2,0,1,0
autos_and_vehicles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
business,1,0,0,1,0,0,0,3,0,0,9,0,0,2,0,0,0,0,20,1,0,0,0,0,1,0,0,0,0,0,0,1,5,0,0,0,1,0,0,0,1,0,0,0,0,0,2,2,0,0,6,0,5,0,0,0,2,0,0,2,1,0,17,1,1,0,0,0,0,1
citizen_journalism,1,3,0,1,0,0,1,1,0,0,2,0,1,0,0,0,7,0,16,1,0,0,6,6,0,0,1,0,0,0,0,18,1,0,0,0,4,4,0,0,0,0,0,0,0,0,2,10,2,0,3,0,4,0,3,0,0,0,0,0,2,0,27,0,1,0,0,1,0,2
comedy,4,1,1,3,0,0,1,1,1,1,7,0,0,2,1,0,2,1,32,0,0,2,0,2,2,0,0,1,0,0,0,13,7,0,1,1,5,0,0,0,2,0,0,2,0,0,5,18,1,0,3,0,3,1,5,0,2,0,0,0,0,0,1,2,5,0,0,0,1,3
conferences_and_other_events,0,0,0,2,0,0,3,0,0,0,5,0,1,2,0,0,3,0,3,0,0,0,0,0,0,0,2,0,0,0,0,4,11,0,0,0,4,1,1,0,1,0,0,0,0,0,1,7,0,0,2,0,3,0,0,0,1,0,0,0,1,0,13,1,2,0,0,0,0,0
default_category,19,10,4,4,0,0,24,17,0,3,16,1,0,13,12,0,2,1,88,7,4,7,0,7,10,2,8,0,0,1,0,45,28,1,0,1,24,3,0,2,4,1,0,10,3,0,11,36,3,1,32,0,35,2,7,0,5,0,0,5,7,0,100,8,7,1,5,2,11,4
documentary,0,1,2,0,1,0,6,2,0,1,1,0,0,1,0,0,0,2,20,2,0,2,1,5,4,0,0,0,1,0,0,8,1,0,0,0,4,3,0,0,2,1,0,2,0,3,1,8,1,0,1,0,7,0,1,0,3,0,0,0,0,0,3,2,2,0,1,0,2,1
educational,5,1,0,0,0,0,8,13,0,1,17,3,0,4,4,0,4,1,34,5,4,0,0,5,3,0,9,0,0,1,0,14,54,0,0,0,3,1,1,0,0,0,0,0,0,0,10,10,0,0,28,0,9,1,0,0,5,0,0,0,1,1,20,5,5,2,3,0,1,0
food_and_drink,5,1,0,1,0,0,2,3,0,0,0,0,0,3,0,0,1,0,12,1,2,0,0,4,1,0,0,0,0,0,1,13,4,0,0,0,8,0,0,0,2,0,0,0,0,0,0,2,3,0,2,0,2,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0
