video,shot_number,category,cluster
10zenmonkeys-DearInternetImSorry675.xml,6,technology,27
11minutu-EntrevistaAntonioBasagoitiPolitika2011Minutu265.xml,20,documentary,7
11minutu-EntrevistaJuanJosIbarretxePolitika2011Minutu923.xml,3,documentary,7
1801Media-iPhone3GWhatDoPeopleKnow259.xml,17,default_category,20
210tvmusic-InterviewWithVerityBandAtTheWarhol635.xml,4,music_and_entertainment,3
210tvmusic-VerityBandRawAndUncut354.xml,1,music_and_entertainment,35
571mul470r-OhhhhhhBama392.xml,42,the_environment,15
8bitjoystick-DaveHorsey_seattlePi_eventmp4203.xml,1,default_category,8
8bitjoystick-TiggaRyuDaCatsAwesomeOutsideAdventure537.xml,7,default_category,25
Aabbey1-DavidHartmanChallengesFacingModernJewryInIsraelAndTheD328.xml,8,religion,25
Aabbey1-DavidHartmanTheContingentFeatureOfTheJewishViewOfHisto566.xml,5,religion,25
Aabbey1-DonnielHartmanGenesis1822970.xml,1,religion,8
Aabbey1-DonnielHartmanHowDreamsForFutureCanBecomeNightmaresFor365.xml,3,religion,35
Aabbey1-DonnielHartmanIsraelsStrugglesInGazaToFightAJustWarIn468.xml,1,videoblogging,22
Aabbey1-DonnielHartmanOnRoshHashana5769RethinkWhoYouAre237.xml,1,religion,30
Aabbey1-DonnielHartmanStoriesOfTheProphets646.xml,3,religion,25
Aabbey1-HolyEnvyLecturesOnReligiousPluralismInHonorOfKristerSt239.xml,11,religion,25
Aabbey1-MajorityAndMinorityInJewishLifeNoamZoharLLR668.xml,5,religion,5
Aabbey1-MicahGoodmanTheComplexitiesOfIsraeliIdentity348.xml,98,religion,25
Aabbey1-ParadigmsOfResponseInPostHolocaustPhilosophyRabbiRachelS920.xml,3,religion,7
Aabbey1-RachelSabathBeitHalachmiThreeModelsOfTorahOnCelebrating136.xml,2,religion,17
Aabbey1-ShalomHartmanInstitutesInnovativeTheologyConference661.xml,5,religion,9
Aabbey1-SoloveitchikTheRabbiAndHartmanThePhilosopher602.xml,2,videoblogging,3
Aaronjupiter-MuscleUp759.xml,90,documentary,25
ABCNewspapers-BlackBeltGranny347.xml,4,the_mainstream_media,12
ABCNewspapers-ChemnitzerConcertina100.xml,2,the_mainstream_media,27
Abird-ThrownFromTheHolidayTrain826.xml,25,default_category,11
AbsoluteDisaster-CraigTheWerewolf1753.xml,11,comedy,1
ACDigest-AnnapolisCityDigest103551.xml,58,default_category,15
ACDigest-AnnapolisCityDigest107788.xml,73,default_category,38
ACDigest-AnnapolisCityDigest108396.xml,38,default_category,15
AceWebsites-HowToFindAndInstallATheme591.xml,41,default_category,11
ACMNational-NCMR2008Spectrum20UsingPublicAirwavesToBuildTheFuture928.xml,13,technology,15
Acnethai-414.xml,2,health,2
Acnethai-EP4HowToMakeUpForAcneFromBobbiBrown565.xml,7,health,30
Actorschecklist-ArgentinasBikinisAndSoccerBallsTranceBandTSpigotJunebugs517.xml,79,default_category,5
Actorschecklist-DeadlyPursuitCarChaseThrillerFastestBassGuitaristHollywo111.xml,62,music_and_entertainment,3
Actorschecklist-TurboTheTrailerAndFilmComposerJermaineStegallConductsTh636.xml,19,default_category,8
Adobedreamer-ApplicationWorkspaceOverview128.xml,5,educational,32
Adobedreamer-Basics313.xml,54,educational,32
Adobedreamer-CleaningUpYourCode369.xml,6,technology,32
Adobedreamer-CodeToolbar161.xml,5,educational,32
Adobedreamer-ConstructionOfABasicWebsite690.xml,78,educational,25
Adobedreamer-CoveredInTisCourse132.xml,1,educational,21
Adobedreamer-CreatingNewPages952.xml,9,technology,28
Adobedreamer-DreamweaverViewOptions911.xml,10,educational,32
Adobedreamer-HowToCreateAnEmailLink283.xml,6,technology,28
Adobedreamer-HTMLTutorial576.xml,37,educational,32
Adobedreamer-Introduction127.xml,1,educational,32
Adobedreamer-TheBasics983.xml,12,educational,32
Adobedreamer-TheDocumentToolbar845.xml,19,web_development_and_sites,28
Adobedreamer-TheInsertBar208.xml,3,web_development_and_sites,32
Adobedreamer-ThePropertiesOfDreamweaverCS3330.xml,95,technology,25
Adobedreamer-TheStructureOfXMLCode806.xml,7,technology,32
Adobedreamer-using_mysql_admin852.xml,16,technology,32
Adobedreamer-WhatIsMySQL343.xml,2,technology,28
Adobedreamer-XMLBasics582.xml,8,technology,32
Adobefireworks-BlurDodgeAndSharpen840.xml,3,educational,28
Adobefireworks-BrushPreserve315.xml,1,educational,32
Adobefireworks-FireworksSmartWebIntergration409.xml,28,educational,32
Adobefireworks-ImageMasks896.xml,3,educational,32
Adobefireworks-ImportAndExportWithFireworksCS3111.xml,14,educational,28
Adobefireworks-WorkingWithLayersCS3Style263.xml,9,educational,32
Adventcalendar-December15th618.xml,2,educational,36
Adventcalendar-December17th902.xml,2,default_category,37
Adventcalendar-December18th499.xml,2,educational,1
Aerobroken-ABNRockUpdate11072008WS229.xml,2,music_and_entertainment,3
