category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25
art,19,19,11,2,6,1,3,0,8,3,0,4,2,2,2,34,2,0,0,0,0,2,4,4,6,0
autos_and_vehicles,0,0,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
business,4,0,7,0,1,0,1,0,2,0,0,4,2,10,10,10,1,0,2,0,1,2,0,4,25,0
citizen_journalism,21,0,5,8,0,6,2,0,7,4,0,2,3,2,1,36,0,1,0,0,0,0,0,2,31,0
comedy,39,3,14,2,2,0,2,0,12,8,0,0,7,13,2,27,2,2,0,0,1,2,0,1,7,0
conferences_and_other_events,14,0,15,0,1,0,2,0,4,0,0,4,2,5,2,7,1,0,0,0,0,2,0,4,11,0
default_category,54,16,50,10,10,4,1,0,26,16,1,27,30,24,38,124,15,1,7,1,5,18,6,34,146,0
documentary,15,2,2,5,3,3,0,0,7,3,0,2,2,3,6,23,2,1,0,1,1,1,2,9,16,0
educational,20,1,74,5,1,0,4,0,17,1,1,2,15,17,27,33,5,0,0,0,2,5,4,16,46,0
food_and_drink,5,0,8,8,2,0,1,0,3,2,0,2,7,1,6,20,1,0,0,0,1,3,0,3,5,0
gaming,13,1,4,1,2,1,3,0,5,14,4,2,7,1,5,23,3,1,1,0,0,0,4,8,7,0
health,8,0,22,0,0,2,0,0,4,0,1,1,4,12,3,4,0,0,1,0,2,16,1,2,5,0
literature,1,0,1,0,0,0,0,0,0,0,0,0,1,1,3,60,0,0,0,0,0,0,0,4,12,0
movies_and_television,78,6,21,5,9,2,5,0,35,3,1,2,7,5,10,49,1,0,2,0,0,3,1,7,20,0
music_and_entertainment,41,15,10,1,10,0,0,0,18,9,0,21,4,1,9,116,2,5,0,0,1,0,2,21,36,0
personal_or_auto-biographical,1,0,5,1,1,0,0,0,0,2,0,4,2,0,1,11,1,0,0,0,0,0,0,7,15,0
politics,30,1,15,10,0,24,4,1,53,1,0,3,10,54,6,62,1,0,17,0,4,152,6,10,126,5
religion,100,1,19,1,0,0,1,0,10,0,1,18,1,0,23,38,0,1,0,0,0,1,0,14,34,0
school_and_education,9,0,9,0,4,0,0,0,2,1,0,3,3,1,8,4,1,0,0,0,0,0,0,2,6,0
sports,18,5,27,6,2,1,0,0,1,8,1,8,5,24,7,39,5,0,1,2,1,11,3,12,12,0
technology,45,2,61,7,4,0,9,0,26,0,0,14,20,14,57,61,10,0,3,0,4,9,2,18,41,0
the_environment,1,0,2,0,1,0,0,0,8,1,0,2,1,2,1,4,0,0,1,0,0,1,0,0,24,0
the_mainstream_media,10,1,27,1,2,0,0,0,3,0,0,1,0,8,4,5,0,0,0,0,0,4,0,4,19,0
travel,3,1,3,1,0,0,0,0,3,1,1,1,1,2,1,16,1,1,3,0,0,0,2,4,5,0
videoblogging,12,1,20,2,3,0,1,0,6,11,0,15,10,13,11,80,4,0,2,0,0,3,1,9,39,0
web_development_and_sites,1,0,14,0,0,0,0,0,1,0,0,0,3,1,4,5,2,0,1,0,0,1,0,0,5,0
