category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25
art,3,5,5,1,8,0,7,9,4,0,0,0,10,14,7,2,8,0,3,1,11,7,0,12,2,14
autos_and_vehicles,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0
business,0,30,5,6,0,0,11,4,1,0,0,0,1,0,8,0,2,0,0,0,7,1,0,2,5,2
citizen_journalism,1,6,8,17,9,0,8,19,0,0,0,0,1,3,4,1,5,0,1,0,4,2,1,2,30,9
comedy,4,37,8,0,6,0,4,6,8,0,0,0,10,6,2,2,14,0,7,0,5,13,0,1,1,9
conferences_and_other_events,0,16,3,1,4,0,9,2,0,0,0,0,4,2,14,0,2,0,0,0,4,0,0,8,3,1
default_category,6,65,34,33,42,0,61,40,6,1,0,1,50,21,67,4,41,0,17,2,43,16,0,31,46,33
documentary,2,4,4,2,5,0,7,12,3,0,0,0,9,10,8,0,8,0,8,0,3,4,0,10,4,5
educational,1,53,16,4,18,0,61,7,2,0,0,0,10,6,29,2,12,0,0,0,24,5,1,14,23,7
food_and_drink,0,5,5,1,9,0,7,6,1,0,0,0,4,1,7,0,5,0,4,0,1,7,0,8,1,6
gaming,4,6,5,0,2,1,3,13,2,0,1,0,9,7,3,3,13,0,5,1,4,9,0,11,1,7
health,1,5,13,0,6,0,7,7,0,0,0,0,3,12,3,0,2,0,1,0,5,10,0,4,2,6
literature,0,1,0,24,3,0,13,0,0,0,0,0,15,0,2,0,2,0,1,0,4,0,0,2,16,0
movies_and_television,2,18,29,3,28,1,11,20,6,0,0,0,19,8,3,1,49,0,8,0,9,18,1,12,5,18
music_and_entertainment,7,10,19,1,5,0,9,17,9,0,0,0,29,17,50,3,31,0,16,3,6,15,0,58,5,11
personal_or_auto-biographical,1,3,1,0,0,0,2,1,1,0,0,0,3,2,15,0,3,0,0,0,2,2,0,12,2,1
politics,0,11,34,105,111,0,45,20,0,0,0,0,31,0,2,0,41,0,4,0,111,9,0,2,57,9
religion,1,98,2,2,5,0,71,1,1,0,0,0,4,1,35,0,2,0,3,0,13,2,0,14,4,0
school_and_education,0,10,3,0,2,0,15,3,0,0,0,0,4,0,2,0,2,0,0,0,2,2,0,1,7,0
sports,0,15,12,2,20,0,15,14,2,0,0,0,15,6,24,4,19,0,7,0,8,9,0,9,2,16
technology,0,76,16,12,36,0,90,9,1,0,0,0,11,1,28,1,18,1,1,0,58,4,0,15,21,2
the_environment,0,20,1,0,2,0,0,1,1,0,0,0,2,1,2,0,5,0,4,4,1,1,0,3,1,0
the_mainstream_media,0,17,3,3,11,0,15,2,0,0,0,0,2,1,5,0,4,0,1,0,15,0,0,6,0,2
travel,0,3,2,0,4,0,0,6,1,0,0,0,1,4,5,0,6,0,1,0,1,4,0,10,0,2
videoblogging,4,17,26,6,7,0,13,10,3,0,0,0,26,9,31,2,32,0,4,0,10,5,1,18,7,11
web_development_and_sites,1,6,2,1,2,0,5,1,0,0,0,0,3,0,2,0,2,0,0,1,5,1,0,1,3,1
